"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E745_00001",261.641242419151,-0.537542830837745,0.133922152775396,-4.01384550425552,5.97374547821732e-05,0.000183268186938175
"E745_00004",175.363203415898,-0.732303511820645,0.162053694611277,-4.51889426882395,6.21634264769002e-06,2.17205366955984e-05
"E745_00005",422.612164141233,-0.777847885208779,0.1120165379456,-6.94404504437135,3.81028920652046e-12,2.26746228227311e-11
"E745_00006",905.345905493487,-0.599733930759303,0.0948422173514362,-6.32349124163767,2.55718704343287e-10,1.33938323335796e-09
"E745_00007",241.957509025386,-1.68043347147566,0.151000923185865,-11.1286304482207,9.10232380883049e-29,1.0239154124195e-27
"E745_00008",880.847091603729,-1.0391437924885,0.0870510763829417,-11.9371733890717,7.5754021192512e-33,9.52642549524702e-32
"E745_00009",245.790951363141,-1.54241221520336,0.148351258524814,-10.3970281785333,2.55786369452029e-25,2.68474984629571e-24
"E745_00012",92.1230222982635,-0.660421279776969,0.216917083529413,-3.04457938043142,0.0023300593137873,0.00559188609757598
"E745_00013",746.046727910864,1.78180105513413,0.0884176274328573,20.1521020962386,2.57925742199012e-90,7.81397759889279e-89
"E745_00014",165.839171268174,-0.909530332197149,0.186823652051193,-4.86838964023636,1.12511325771854e-06,4.34088559345531e-06
"E745_00015",185.952501098607,-2.13739956793628,0.181438607627844,-11.7802908426215,4.93225907086563e-32,6.11600124787338e-31
"E745_00016",105.905732552712,1.00314783605868,0.207074001808932,4.84439295756832,1.26999363016703e-06,4.81622050928206e-06
"E745_00017",74.7879056086351,1.51328217617712,0.252554965943214,5.99189238083472,2.07413172721525e-09,1.01275369684173e-08
"E745_00024",33.2266496993315,-1.34724823719303,0.406092752452576,-3.31758749462135,0.000907984724908288,0.00231866597376005
"E745_00029",24.9968795462234,1.14044184801514,0.41037075562834,2.77905243581247,0.00545177238837371,0.0122756969488212
"E745_00035",1251.36043447471,-1.05425517785158,0.0712743492931121,-14.7915089833512,1.66185819279793e-49,2.95367596133286e-48
"E745_00036",134.882298898765,-0.577597265297349,0.188599869334507,-3.0625538996154,0.00219456949177904,0.00529477128061804
"E745_00039",203.074168198058,-2.17349657210585,0.164609614815563,-13.203946650025,8.32561791111539e-40,1.20630963864313e-38
"E745_00040",194.222558007552,-1.25909457959211,0.160341598426563,-7.85257595001949,4.07577909011076e-15,2.75787488686175e-14
"E745_00041",101.388662416331,-1.23460508716802,0.239664335712922,-5.1513926070622,2.58559269733221e-07,1.05561870307621e-06
"E745_00042",1507.74774300296,0.835254622067607,0.0693526224886242,12.0435910293747,2.09627577305333e-33,2.68686115911548e-32
"E745_00045",234.173383608476,-0.375436099055677,0.147465144401748,-2.54593111191656,0.0108986693806077,0.023323001077524
"E745_00046",281.109065841145,-0.321061219911498,0.130387238087862,-2.46236690507357,0.0138023389649491,0.0288830735326173
"E745_00048",241.729138395416,0.433452205535802,0.147092856341317,2.94679304160096,0.00321088022722818,0.00748269815191462
"E745_00049",1399.90535996037,-1.445102184865,0.0861529681692876,-16.7736784416461,3.80224318483451e-63,8.37750440559405e-62
"E745_00050",210.888238763002,-0.524057540693093,0.14828162874662,-3.53420410284668,0.000409005107926526,0.00111266083442053
"E745_00052",977.603196818841,-2.34994448539513,0.0969882597314465,-24.2291643535202,1.09661671997648e-129,4.79275438599559e-128
"E745_00053",1085.88471371288,-1.94350768646764,0.08575535118804,-22.6633983715606,1.02924191189694e-113,3.81105407932949e-112
"E745_00054",3107.12987415975,-1.76874077200505,0.0560230799564763,-31.5716446396585,9.04951579099636e-219,1.60840060658642e-216
"E745_00055",7000.42012981335,-1.55184726920594,0.0576152152633318,-26.9346779685398,8.62441044231478e-160,5.89555852287467e-158
"E745_00056",270.083356787341,-2.88214958700509,0.169537564600386,-17.0000648163052,8.20291770058921e-65,1.86914346921118e-63
"E745_00057",936.168063885738,-2.10993998271705,0.099094185905677,-21.292268193468,1.33888584347463e-100,4.46183707337921e-99
"E745_00058",617.077113105402,-2.16667851529473,0.108379988939092,-19.9914996901538,6.53033445850845e-89,1.93443018515372e-87
"E745_00059",388.338926037654,-2.06206879118911,0.128025154077976,-16.1067471938614,2.28744393082597e-58,4.65521032029163e-57
"E745_00060",950.314403650023,-2.21158350334694,0.0889920477751685,-24.8514733466336,2.49275325713832e-136,1.1659088041282e-134
"E745_00061",615.959780695793,-2.97560829621636,0.115192801436643,-25.8315472764412,3.92242619558204e-147,2.22493366753654e-145
"E745_00062",638.720288047727,-2.39816439182458,0.101706887908671,-23.5791738508216,6.30473454499035e-123,2.54673065105216e-121
"E745_00063",1440.88813272862,-2.38647388493208,0.0782497462779545,-30.498167705937,2.75581181045373e-204,3.86683909824718e-202
"E745_00064",633.368987842883,-2.44473762686376,0.108895285243998,-22.4503533039647,1.26958690175238e-111,4.5129582400958e-110
"E745_00065",394.123746925316,-2.43285062567409,0.142168699525919,-17.1124209040863,1.19910363334446e-65,2.75587093663477e-64
"E745_00066",1034.02847707599,-2.45371543809551,0.095675662262813,-25.6461819031402,4.66372585218216e-145,2.53744757590156e-143
"E745_00067",624.695977245536,-2.73948748192012,0.107594493245406,-25.4612238906296,5.30273446423435e-143,2.71867116954784e-141
"E745_00068",1038.37226923032,-2.57477789827139,0.0921558619563226,-27.9393827328283,8.87267795048282e-172,6.75844554742491e-170
"E745_00069",645.593428472217,-2.69435005842039,0.108054846280203,-24.9350228256631,3.1043657946419e-137,1.47789985866345e-135
"E745_00070",572.351934835556,-2.70115613943846,0.113543174967837,-23.7896830012338,4.27090358422925e-125,1.7790982743055e-123
"E745_00071",619.572734850289,-2.61963280379892,0.11225997076929,-23.3354132006913,1.93840417595799e-120,7.59968460750589e-119
"E745_00072",832.745107583654,-2.28748794023326,0.0903961194393326,-25.3051563985383,2.8029510364965e-141,1.40993725722635e-139
"E745_00073",1001.81420453976,-2.65621037036593,0.0891327878390204,-29.800597903021,3.83754468608935e-195,4.09235765324568e-193
"E745_00074",1253.61712933464,-2.56537333258752,0.088265358557663,-29.0643280048717,1.01427874477111e-185,9.65738261985632e-184
"E745_00075",383.249150922203,-2.69116600246586,0.13604958673286,-19.7807730776139,4.35955488011207e-87,1.24973906563213e-85
"E745_00076",881.250380294443,-2.77111078951377,0.105221241472975,-26.3360396695708,7.41763435358217e-153,4.59893329922095e-151
"E745_00077",2807.67189324154,-2.78054377782725,0.0652576212254653,-42.6087210292338,0,0
"E745_00078",984.741314431638,-2.92830118872036,0.0936996393135801,-31.2520006498676,2.09707094333892e-214,3.49424445933848e-212
"E745_00079",445.326802530067,-2.3610203372235,0.118676487606434,-19.8945923058772,4.53278514370354e-88,1.32795661462787e-86
"E745_00080",496.976614009583,-2.65213937119868,0.133993812514497,-19.7929988066556,3.42070305199079e-87,9.91260253979069e-86
"E745_00081",534.652914951787,-2.23574683694441,0.111025283160244,-20.1372766031818,3.47950087210582e-90,1.04228644101507e-88
