# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "analyses/03_annotation/prokka/pacbio_prokka/E745.gff" "-o" "analyses/06_read_counting/featurecounts/gene_counts.txt" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam
E745_00001	CP014529.1	1	1335	+	1335	206	211	180	378	343	314
E745_00002	CP014529.1	1533	2663	+	1131	118	126	149	188	171	172
E745_00003	CP014529.1	2826	3134	+	309	29	35	26	47	44	38
E745_00004	CP014529.1	3121	4245	+	1125	136	114	118	266	231	234
E745_00005	CP014529.1	4242	6188	+	1947	254	319	299	645	596	542
E745_00006	CP014529.1	6208	8679	+	2472	746	654	611	1429	1111	1116
E745_00007	CP014529.1	8915	9214	+	300	92	112	118	424	429	376
E745_00008	CP014529.1	9264	9776	+	513	507	551	556	1573	1211	1191
E745_00009	CP014529.1	9802	10038	+	237	119	117	115	397	396	423
E745_00010	CP014529.1	10181	12154	+	1974	139	159	136	192	161	167
E745_00011	CP014529.1	12160	12612	+	453	101	91	98	123	113	115
E745_00012	CP014529.1	12886	14253	+	1368	64	72	64	154	116	109
E745_00013	CP014529.1	15033	16325	+	1293	1046	1139	1049	399	355	368
E745_00014	CP014529.1	17112	17975	+	864	107	124	92	318	226	186
E745_00015	CP014529.1	18104	19726	-	1623	53	80	60	349	361	300
E745_00016	CP014529.1	19975	20496	+	522	126	154	116	90	78	68
E745_00017	CP014529.1	20682	22412	-	1731	116	98	95	41	48	40
E745_00018	CP014529.1	22577	23395	+	819	12	46	10	42	48	42
E745_00019	CP014529.1	23498	23695	-	198	8	14	6	20	20	18
E745_00020	CP014529.1	23864	24442	+	579	2	10	2	14	18	18
E745_00021	CP014529.1	24537	24674	+	138	0	0	0	2	0	0
E745_00022	CP014529.1	25487	25990	-	504	2	8	4	11	12	6
E745_00023	CP014529.1	26349	27374	+	1026	6	8	28	42	21	36
E745_00024	CP014529.1	27712	28575	+	864	26	8	18	49	57	52
E745_00025	CP014529.1	30056	30433	+	378	0	0	0	2	0	0
E745_00026	CP014529.1	30527	30757	+	231	0	0	2	6	0	2
E745_00027	CP014529.1	30771	30977	+	207	0	0	0	0	5	0
E745_00028	CP014529.1	31157	31528	+	372	2	4	2	4	2	2
E745_00029	CP014529.1	31802	32494	-	693	32	28	36	18	18	16
E745_00030	CP014529.1	32497	33282	-	786	9	14	9	10	17	23
E745_00031	CP014529.1	33519	34919	+	1401	2	0	2	2	0	6
E745_00032	CP014529.1	34944	35261	+	318	0	0	0	0	2	2
E745_00033	CP014529.1	35274	36947	+	1674	0	2	0	0	2	2
E745_00034	CP014529.1	36961	38592	+	1632	0	0	0	10	0	0
E745_00035	CP014529.1	39083	40648	-	1566	744	772	759	2045	1844	1752
E745_00036	CP014529.1	40707	41630	-	924	106	82	114	194	176	169
E745_00037	CP014529.1	41826	42431	+	606	16	39	32	44	47	54
E745_00038	CP014529.1	42739	43755	+	1017	24	24	28	48	33	55
E745_00039	CP014529.1	43896	45197	+	1302	70	64	72	410	361	340
E745_00040	CP014529.1	45243	45905	+	663	115	103	102	358	263	297
E745_00041	CP014529.1	45926	46324	+	399	45	75	50	216	126	139
E745_00042	CP014529.1	46390	47472	+	1083	1731	1882	1795	1398	1084	1145
